eval_idx,region,energy_mean,energy_std,energy_range,gar,grad_var
41,real,-4.204102,0.021815,0.054688,0.690272,0.000141
42,real,-3.723144,0.051552,0.140625,0.707306,0.000121
43,real,-4.143555,0.026691,0.070312,0.748028,0.000226
44,real,-4.250976,0.074648,0.207031,0.71357,2.8e-05
45,real,-4.058106,0.131936,0.369141,0.881618,0.000198
46,real,-4.142578,0.172727,0.433594,0.746539,7.2e-05
47,real,-4.266602,0.066025,0.171875,0.610318,3.3e-05
48,real,-4.09375,0.099896,0.28125,0.396682,0.000528
49,real,-4.243164,0.034541,0.078125,0.548088,5.4e-05
50,real,-4.167969,0.125092,0.332031,0.649377,4.7e-05
51,real,-4.101074,0.12975,0.345703,0.746453,9.3e-05
52,real,-4.173828,0.055139,0.136719,0.958113,9.4e-05
53,near,-3.765137,0.073785,0.179688,0.828458,0.000102
54,near,-3.146484,0.065364,0.171875,0.945587,1.2e-05
55,near,-4.06836,0.017794,0.046875,0.793459,0.000213
56,near,-3.887695,0.142461,0.400391,0.701005,0.000123
57,near,-3.424316,0.066641,0.15625,0.76674,8.6e-05
58,near,-3.730469,0.036722,0.09375,0.904307,8.8e-05
59,near,-3.302246,0.139927,0.304688,0.899763,6.4e-05
60,near,-3.529297,0.045281,0.126953,0.918482,5.7e-05
61,near,-3.302246,0.062916,0.167969,0.930339,3.8e-05
62,near,-3.800293,0.148196,0.375,0.354184,0.000496
63,near,-3.707031,0.103377,0.224609,0.930366,7.3e-05
64,near,-3.893066,0.089123,0.208984,0.80739,0.000212
65,near,-3.639648,0.131872,0.335938,0.843149,0.000253
66,near,-4.124024,0.023336,0.0625,0.616611,0.000123
67,near,-3.390137,0.07748,0.203125,0.89289,5.5e-05
68,near,-3.576172,0.054355,0.150391,0.6819,0.000105
69,near,-3.680176,0.118815,0.333984,0.684913,0.000239
70,near,-3.802734,0.182672,0.451172,0.811685,0.000109
71,near,-3.166016,0.026313,0.072266,0.896256,4.5e-05
72,near,-3.268555,0.09347,0.236328,0.937365,5.4e-05
73,near,-3.870606,0.079975,0.195312,0.391259,0.000707
74,near,-3.445801,0.129168,0.339844,0.89355,5e-05
75,near,-3.696777,0.090419,0.220703,0.894349,7e-05
76,near,-3.405274,0.029572,0.066406,0.873788,0.000123
77,near,-4.046387,0.044503,0.111328,0.534952,0.000313
78,near,-3.23291,0.073436,0.185547,0.913219,3.4e-05
79,near,-3.756348,0.030238,0.080078,0.789369,0.000275
80,near,-3.27832,0.186748,0.494141,0.89684,8.1e-05
81,near,-3.980957,0.086429,0.228516,0.692881,0.000136
82,near,-3.52539,0.018886,0.052734,0.821644,0.000158
83,near,-3.79541,0.151076,0.384766,0.766706,6.4e-05
84,near,-4.026856,0.087916,0.236328,0.514408,0.000163
